Date,Location (according to buggy OCR)
12/19/2015,2200 ASHBY AVE
12/19/2015,1800 NINTH ST _
12/19/2015,2400 ASHBY AVE
12/19/2015,1100 UNIVERSITY AVE
12/20/2015,2900 DEAKIN ST
12/20/2015,1100 UNIVERSITY AVE
12/20/2015:2:07,REGENT ST
12/20/2015,2300 NINTH ST
12/21/2015,SHATTUCK AVE / HASTE ST
12/21/2015,2100 HASTE ST
12/21/2015,2100 OXFORD ST
12/21/2015,900 OXFORD ST
12/22/2015,1900 MILVIA ST
12/22/2015,1900 MILVIA ST
12/22/2015,2400 HILGARD AVE
12/22/2015,HASTE ST/ DANA ST
12/22/2015,2300 BLAKE ST
12/23/2015,1700 UNIVERSITY AVE
12/23/2015,2400 HILGARD AVE
12/23/2015,3100 COLLEGE AVE
12/23/2015,CARLETON ST / SAN PABLO AVE
12/23/2015,1500 BONITA AVE
12/24/2015,900 CRAGMONT AVE
12/24/2015,DELAWARE ST/ FRANKLIN ST
12/24/2015,CEDAR ST_/ SIXTH ST
12/24/20-15,1700 HARMON ST
12/24/2015,BANCROFT WAY / SAN PABLO AVE
12/24/2015,2200 GRANT ST
12/25/2015,1100 BANCROFT WAY
12/25/2015,1700 HARMON ST
12/25/2015,1100 WALNUT ST
12/25/2015,1300 DELAWARE ST
12/25/2015,2400 SEVENTH ST
12/25/2015,1500 TYLER ST
12/26/2015,1500 HAWTHORNE TER
12/26/2015,1800 SIXTH ST
12/26/2015,2200 BLAKE ST
12/27/2015,HARMON ST/ ADELINE ST
12/27/2015,EIGHTH ST/ BANCROFT WAY
12/27/2015,JONES ST/ FIFTH ST
12/28/2015,1600 SOLANO AVE
12/28/2015,1200 HASKELL ST
12/29/2015,1500 HAWTHORNE TER
12/30/2015,DWIGHT WAY / M L KING JR WAY
12/30/2015,2100 SIXTH ST
12/30/2015,1300 EASTSHORE HWY I
12/30/2015,1000 UNIVERSITY AVE
12/30/2015,1500 FAIRVIEW ST
12/30/2015,1800 WARD ST
12/31/2015,2900 CLAREMONT AVE
12/31/2015,1900 UNIVERSITY AVE
12/31/2015,2300 TENTH ST
12/31/2015,1700 HARMON ST
11/29/2016,1100 HEARST AVE
42/20/2016,2200 RUSSELL ST
14/24/2016,1300 SAN PABLO AVE
15/13/2016,2200 BLAKE ST
18/10/2016,2700 DLIRANT AVE
18/16/2016,1700 LA LOMA AVE
18/20/2016,SAN PABLO AVE / VIRGINIA ST
